CVE ID,Software,Config,Tag,Target Function,Target File,Vulnerability Type,Sink,Proof Found,Compile Succeeded,Verification Completes,Verification Time,Reachable Line Count,Covered Line Count,Line Coverage %,API Cost,Reported Error Count,Sink Included,Sink Covered,Error Found,Precondition Addressed,CVE Exposed Strict,CVE Exposed Partial,Manual,Exposed,Non-exposure Root Cause,
CVE-2023-4260,zephyr,codexup,exp-codexup-0412,fuse_fs_access_readdir,subsys/fs/fuse_fs_access_bottom.c,OOB Write,fuse_fs_access_readdir:338,TRUE,TRUE,TRUE,22.389807,191,188,98.429319,,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,Over-constrained environment,"Interestingly, it found the vulnerability in is_mount_point"
CVE-2023-4259,zephyr,codexup,exp-codexup-0412,eswifi_mgmt_iface_status,drivers/wifi/eswifi/eswifi_core.c,OOB Write,eswifi_mgmt_iface_status:502,TRUE,TRUE,TRUE,0.169116,166,112,67.46988,,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,Over-constrained environment,"It identified vulnerability at the start but CBMC did not report an error, so it reported success."
CVE-2023-4259,zephyr,codexup,exp-codexup-0412,eswifi_shell_atcmd,drivers/wifi/eswifi/eswifi_shell.c,OOB Write,eswifi_shell_atcmd:43,TRUE,TRUE,TRUE,0.581068,52,34,65.384615,,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,TRUE,,"Lol, the LLM modified the destination type so that the bug can be triggered."
CVE-2023-3725,zephyr,codexup,exp-codexup-0412,send_sf,subsys/canbus/isotp/isotp.c,OOB Write,send_sf:922,TRUE,TRUE,TRUE,10.822446,87,74,85.057471,,2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,,"Vulnerability identified at start of execution. Interestingly, LLM identified that we removed the gated check."
CVE-2022-1042,zephyr,codexup,exp-codexup-0412,gen_prov_cont,subsys/bluetooth/mesh/pb_adv.c,OOB Write,gen_prov_cont:536,TRUE,TRUE,TRUE,2.825608,582,243,41.752577,,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,N/A,Rerun,We added this check and did not remove it
CVE-2022-1041,zephyr,codexup,exp-codexup-0412,gen_prov_start,subsys/bluetooth/mesh/pb_adv.c,OOB Write,gen_prov_start:661,TRUE,TRUE,TRUE,0.830502,606,253,41.749175,,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,N/A,Rerun,We added the check for 1042 and did not remove it.
CVE-2021-3861,zephyr,codexup,exp-codexup-0412,queue_encapsulated_cmd,subsys/usb/device/class/netusb/function_rndis.c,OOB Write,queue_encapsulated_cmd:777,TRUE,TRUE,TRUE,129.909191,46,46,100,,2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,,Vulnerability identified at start of execution
CVE-2021-3835,zephyr,codexup,exp-codexup-0412,bt_buf_get_tx,subsys/bluetooth/host/hci_raw.c,OOB Write,net_buf_simple_add_mem:73,TRUE,TRUE,TRUE,0.139964,96,90,93.75,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,Limited scope,No vulnerabilities identified at start of execution. Sounds like the LLM did not look are the buf_simple.c file at all (not in log)
CVE-2021-3581,zephyr,codexup,exp-codexup-0412,ull_scan_rsp_set,subsys/bluetooth/controller/ll_sw/ull_adv.c,OOB Write,ull_scan_rsp_set:1921,TRUE,TRUE,TRUE,0.356706,103,79,76.699029,,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,,Vulnerability identified after CBMC execution
CVE-2021-3454,zephyr,codexup,exp-codexup-0412,l2cap_chan_le_recv,subsys/bluetooth/host/l2cap.c,OOB Read,net_buf_simple_pull_le16:485,TRUE,TRUE,TRUE,0.110942,961,94,9.781478,,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,Limited scope,
